travel_time_sec,temperature_2m (°C),precipitation (mm),relative_humidity_2m (%),visibility (m),wind_speed_10m (km/h),bias
475,2.1,0,46,26100,27.7,1
538,2.3,0,45,32500,27.5,1
508,2.3,0,45,32500,27.5,1
521,0.7,0,47,34100,24.8,1
446,0.7,0,47,34100,24.8,1
455,0.7,0,47,34100,24.8,1
484,3.2,0,44,46200,28.7,1
468,3.2,0,44,46200,28.7,1
462,3.2,0,44,46200,28.7,1
631,1,0,47,31900,24.9,1
452,1,0,47,31900,24.9,1
463,1.3,0,47,31200,26.1,1
513,1.3,0,47,31200,26.1,1
535,2,0,47,42800,25.9,1
462,2,0,47,42800,25.9,1
478,4.1,0,39,48100,33.3,1
502,4.1,0,39,48100,33.3,1
478,4.1,0,39,48100,33.3,1
435,5.9,0,31,62200,34.5,1
477,5.9,0,31,62200,34.5,1
445,5.4,0,30,58000,37.1,1
539,5.4,0,30,58000,37.1,1
474,5.4,0,30,58000,37.1,1
466,5.5,0,30,66400,36.4,1
470,5.5,0,30,66400,36.4,1
506,5.5,0,30,66400,36.4,1
469,5.2,0,31,56100,35.9,1
454,5.2,0,31,56100,35.9,1
497,5.2,0,31,56100,35.9,1
450,2.9,0,43,40800,29.5,1
509,2.9,0,43,40800,29.5,1
518,2.9,0,43,40800,29.5,1
567,4.1,0,37,48600,34.2,1
512,4.1,0,37,48600,34.2,1
507,5.2,0,36,55900,33.6,1
495,5.2,0,36,55900,33.6,1
471,5.2,0,36,55900,33.6,1
458,5.6,0,30,68900,36.5,1
598,5.6,0,30,68900,36.5,1
475,5.6,0,30,68900,36.5,1
543,3,0,43,40200,29.6,1
507,3,0,43,40200,29.6,1
476,3,0,43,40200,29.6,1
483,4.7,0,35,55700,34.9,1
494,4.7,0,35,55700,34.9,1
481,4.7,0,35,55700,34.9,1
470,5.6,0,30,71100,38.7,1
505,5.6,0,30,71100,38.7,1
455,3.2,0,42,40400,30.2,1
499,3.2,0,42,40400,30.2,1
477,6.3,0,30,64100,36.5,1
563,6.3,0,30,64100,36.5,1
504,6.3,0,30,64100,36.5,1
489,4.3,0,41,49000,30.3,1
456,4.3,0,41,49000,30.3,1
485,4.3,0,41,49000,30.3,1
561,4.8,0,33,57100,37.1,1
495,4.8,0,33,57100,37.1,1
543,4.9,0,32,59100,36.7,1
560,4.9,0,32,59100,36.7,1
458,4.9,0,32,59100,36.7,1
519,5.6,0,30,60400,36.4,1
494,5.6,0,30,60400,36.4,1
557,3.9,0,40,47800,32.8,1
492,3.9,0,40,47800,32.8,1
504,3.3,0,41,48300,30.9,1
486,3.3,0,41,48300,30.9,1
472,5.5,0,32,60500,32.1,1
482,5.5,0,32,60500,32.1,1
463,3,0,41,46100,27.2,1
443,3,0,41,46100,27.2,1
466,4.8,0,34,53300,31.3,1
484,4.8,0,34,53300,31.3,1
467,2.8,0,41,46000,26.4,1
478,2.8,0,41,46000,26.4,1
480,4.6,0,36,52600,31.9,1
529,4.6,0,36,52600,31.9,1
498,4.2,0,38,49700,31.6,1
481,4.2,0,38,49700,31.6,1
474,4.1,0,40,49200,32.8,1
437,4.1,0,40,49200,32.8,1
474,4.1,0,40,49200,32.8,1
440,1.7,0,60,32200,30.8,1
463,1.7,0,60,32200,30.8,1
481,1.3,0,48,36000,28.2,1
468,3.1,0,43,43500,30,1
446,3.1,0,43,43500,30,1
468,1.4,0,54,30900,30.4,1
428,1.4,0,54,30900,30.4,1
559,2.6,0,47,37900,25.8,1
463,2.6,0,47,37900,25.8,1
539,1.3,0,48,30100,28.8,1
501,1.3,0,48,30100,28.8,1
457,1.3,0,46,30500,26.1,1
450,2.2,0,54,33500,27.1,1
515,2.2,0,54,33500,27.1,1
480,2,0,44,42400,24.1,1
489,2,0,44,42400,24.1,1
479,2,0,59,34600,28.4,1
452,2,0,59,34600,28.4,1
475,1.5,0,44,29200,27.1,1
441,1.5,0,44,29200,27.1,1
497,1.8,0,62,27800,29.1,1
459,2.1,0,71,19800,22.6,1
452,2.1,0,71,19800,22.6,1
499,2.1,0,71,19800,22.6,1
459,1.9,0,71,20000,23.2,1
491,1.9,0,71,20000,23.2,1
477,1.9,0,67,23700,24.2,1
448,1.9,0,67,23700,24.2,1
457,1.9,0,67,23700,24.2,1
465,1,0,47,42500,25.4,1
614,1,0,47,42500,25.4,1
544,0,0,47,40600,22.5,1
566,0,0,47,40600,22.5,1
567,0,0,47,40600,22.5,1
441,-0.4,0,48,37300,23.9,1
460,-0.4,0,48,37300,23.9,1
520,-0.4,0,48,37300,23.9,1
